miRNA,Score_mi,Gene,Disease_name,Score_dis
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ae-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548ah-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aj-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548am-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548aq-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548j-3p,86.2484,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-miR-548x-3p,86.3202,HPS1,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.0
hsa-let-7a-2-3p,81.1816579264,LIN28B,neuroblastoma,90.0
hsa-let-7a-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7b-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7c-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7d-5p,99.8568497363767,LIN28B,neuroblastoma,90.0
hsa-let-7e-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7f-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7g-3p,81.1816579264,LIN28B,neuroblastoma,90.0
hsa-let-7g-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7i-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-miR-1200,83.3157,LIN28B,neuroblastoma,90.0
hsa-miR-1244,84.3116,LIN28B,neuroblastoma,90.0
hsa-miR-125a-5p,88.7753,LIN28B,neuroblastoma,90.0
hsa-miR-125b-5p,88.7753,LIN28B,neuroblastoma,90.0
hsa-miR-1297,88.850740582,LIN28B,neuroblastoma,90.0
hsa-miR-132-3p,87.5566,LIN28B,neuroblastoma,90.0
hsa-miR-146a-3p,86.0771281912,LIN28B,neuroblastoma,90.0
hsa-miR-1537-5p,87.6312,LIN28B,neuroblastoma,90.0
hsa-miR-181a-5p,94.7161590246979,LIN28B,neuroblastoma,90.0
hsa-miR-181b-5p,94.7161590246979,LIN28B,neuroblastoma,90.0
hsa-miR-181c-5p,94.7161590246979,LIN28B,neuroblastoma,90.0
hsa-miR-181d-5p,94.7161590246979,LIN28B,neuroblastoma,90.0
hsa-miR-190a-3p,80.4988101909203,LIN28B,neuroblastoma,90.0
hsa-miR-199a-3p,93.51442,LIN28B,neuroblastoma,90.0
hsa-miR-199b-3p,93.51442,LIN28B,neuroblastoma,90.0
hsa-miR-19a-5p,98.0088960278099,LIN28B,neuroblastoma,90.0
hsa-miR-19b-1-5p,97.5066758725619,LIN28B,neuroblastoma,90.0
hsa-miR-19b-2-5p,97.5066758725619,LIN28B,neuroblastoma,90.0
hsa-miR-202-3p,91.4700710916767,LIN28B,neuroblastoma,90.0
hsa-miR-203a-3p,88.681906954,LIN28B,neuroblastoma,90.0
hsa-miR-212-3p,87.5566,LIN28B,neuroblastoma,90.0
hsa-miR-222-5p,88.8678,LIN28B,neuroblastoma,90.0
hsa-miR-2355-3p,82.4989,LIN28B,neuroblastoma,90.0
hsa-miR-26a-5p,87.5322905788,LIN28B,neuroblastoma,90.0
hsa-miR-26b-5p,87.5322905788,LIN28B,neuroblastoma,90.0
hsa-miR-30a-5p,99.6857447312688,LIN28B,neuroblastoma,90.0
hsa-miR-30b-5p,99.6857447312688,LIN28B,neuroblastoma,90.0
hsa-miR-30c-5p,99.6857447312688,LIN28B,neuroblastoma,90.0
hsa-miR-30d-5p,99.6857447312688,LIN28B,neuroblastoma,90.0
hsa-miR-30e-5p,99.6857447312688,LIN28B,neuroblastoma,90.0
hsa-miR-3129-5p,93.51442,LIN28B,neuroblastoma,90.0
hsa-miR-3163,96.9857909866514,LIN28B,neuroblastoma,90.0
hsa-miR-32-3p,90.7826097355152,LIN28B,neuroblastoma,90.0
hsa-miR-3200-5p,84.217224134,LIN28B,neuroblastoma,90.0
hsa-miR-342-3p,81.7692425960819,LIN28B,neuroblastoma,90.0
hsa-miR-34a-5p,81.4874,LIN28B,neuroblastoma,90.0
hsa-miR-3613-3p,85.396929244,LIN28B,neuroblastoma,90.0
hsa-miR-3617-5p,99.7372091437163,LIN28B,neuroblastoma,90.0
hsa-miR-3618,95.2415429172,LIN28B,neuroblastoma,90.0
hsa-miR-3680-3p,88.2393234714546,LIN28B,neuroblastoma,90.0
hsa-miR-369-3p,90.1979999622116,LIN28B,neuroblastoma,90.0
hsa-miR-377-3p,96.9972360086336,LIN28B,neuroblastoma,90.0
hsa-miR-380-3p,91.3965656803226,LIN28B,neuroblastoma,90.0
hsa-miR-3927-3p,82.8777,LIN28B,neuroblastoma,90.0
hsa-miR-3938,80.8433,LIN28B,neuroblastoma,90.0
hsa-miR-3977,94.2175351603947,LIN28B,neuroblastoma,90.0
hsa-miR-4257,91.4318006218,LIN28B,neuroblastoma,90.0
hsa-miR-4262,96.054049657898,LIN28B,neuroblastoma,90.0
hsa-miR-4282,89.8712502825,LIN28B,neuroblastoma,90.0
hsa-miR-4307,92.6069694646856,LIN28B,neuroblastoma,90.0
hsa-miR-4319,90.45842,LIN28B,neuroblastoma,90.0
hsa-miR-4458,99.8286371217882,LIN28B,neuroblastoma,90.0
hsa-miR-4465,86.8904936296,LIN28B,neuroblastoma,90.0
hsa-miR-449a,81.4874,LIN28B,neuroblastoma,90.0
hsa-miR-4500,99.9553531981313,LIN28B,neuroblastoma,90.0
hsa-miR-466,85.7786088888,LIN28B,neuroblastoma,90.0
hsa-miR-4660,85.9946912406255,LIN28B,neuroblastoma,90.0
hsa-miR-4680-3p,92.0069448832,LIN28B,neuroblastoma,90.0
hsa-miR-4719,89.8988516224,LIN28B,neuroblastoma,90.0
hsa-miR-4733-5p,95.756414932,LIN28B,neuroblastoma,90.0
hsa-miR-4735-5p,85.6599,LIN28B,neuroblastoma,90.0
hsa-miR-4760-3p,82.944587549103,LIN28B,neuroblastoma,90.0
hsa-miR-4765,89.7073,LIN28B,neuroblastoma,90.0
hsa-miR-4789-3p,86.6211039581498,LIN28B,neuroblastoma,90.0
hsa-miR-498-5p,86.4875449917984,LIN28B,neuroblastoma,90.0
hsa-miR-499a-5p,90.4550124769281,LIN28B,neuroblastoma,90.0
hsa-miR-5011-5p,96.8513461456632,LIN28B,neuroblastoma,90.0
hsa-miR-508-5p,80.6850399475,LIN28B,neuroblastoma,90.0
hsa-miR-5087,90.0309465807844,LIN28B,neuroblastoma,90.0
hsa-miR-513b-5p,88.4644538894199,LIN28B,neuroblastoma,90.0
hsa-miR-516b-5p,89.1184,LIN28B,neuroblastoma,90.0
hsa-miR-520g-3p,82.6321226989981,LIN28B,neuroblastoma,90.0
hsa-miR-520h,82.6321226989981,LIN28B,neuroblastoma,90.0
hsa-miR-548ac,95.2433699107562,LIN28B,neuroblastoma,90.0
hsa-miR-548ae-3p,91.1793578578125,LIN28B,neuroblastoma,90.0
hsa-miR-548ah-3p,93.1231374821028,LIN28B,neuroblastoma,90.0
hsa-miR-548aj-3p,93.3807839411215,LIN28B,neuroblastoma,90.0
hsa-miR-548am-3p,93.1231374821028,LIN28B,neuroblastoma,90.0
hsa-miR-548aq-3p,91.1793578578125,LIN28B,neuroblastoma,90.0
hsa-miR-548as-3p,92.24555,LIN28B,neuroblastoma,90.0
hsa-miR-548au-3p,81.4874,LIN28B,neuroblastoma,90.0
hsa-miR-548bb-3p,95.2433699107562,LIN28B,neuroblastoma,90.0
hsa-miR-548c-3p,99.420365210563,LIN28B,neuroblastoma,90.0
hsa-miR-548d-3p,96.2915748485278,LIN28B,neuroblastoma,90.0
hsa-miR-548h-3p,95.2433699107562,LIN28B,neuroblastoma,90.0
hsa-miR-548j-3p,91.1793578578125,LIN28B,neuroblastoma,90.0
hsa-miR-548m,80.6940259995308,LIN28B,neuroblastoma,90.0
hsa-miR-548u,81.0950875866185,LIN28B,neuroblastoma,90.0
hsa-miR-548x-3p,93.3807839411215,LIN28B,neuroblastoma,90.0
hsa-miR-548z,95.2433699107562,LIN28B,neuroblastoma,90.0
hsa-miR-5586-3p,86.225,LIN28B,neuroblastoma,90.0
hsa-miR-5692b,90.5170998691052,LIN28B,neuroblastoma,90.0
hsa-miR-5692c,90.5170998691052,LIN28B,neuroblastoma,90.0
hsa-miR-641,99.7372091437163,LIN28B,neuroblastoma,90.0
hsa-miR-642b-5p,82.8677561056,LIN28B,neuroblastoma,90.0
hsa-miR-6500-3p,93.514143368,LIN28B,neuroblastoma,90.0
hsa-miR-6508-5p,93.0083074324,LIN28B,neuroblastoma,90.0
hsa-miR-6513-3p,95.2166606405477,LIN28B,neuroblastoma,90.0
hsa-miR-659-3p,97.9173134356677,LIN28B,neuroblastoma,90.0
hsa-miR-6768-5p,89.0788,LIN28B,neuroblastoma,90.0
hsa-miR-6831-5p,82.8777,LIN28B,neuroblastoma,90.0
hsa-miR-6885-3p,96.0427254731814,LIN28B,neuroblastoma,90.0
hsa-miR-6892-3p,82.3257209704,LIN28B,neuroblastoma,90.0
hsa-miR-7161-5p,83.1448746479114,LIN28B,neuroblastoma,90.0
hsa-miR-8062,83.72920361,LIN28B,neuroblastoma,90.0
hsa-miR-8067,91.451161714,LIN28B,neuroblastoma,90.0
hsa-miR-8068,97.0654147545599,LIN28B,neuroblastoma,90.0
hsa-miR-8087,82.7588320993,LIN28B,neuroblastoma,90.0
hsa-miR-8485,88.5184377748,LIN28B,neuroblastoma,90.0
hsa-miR-9-5p,98.8540705985204,LIN28B,neuroblastoma,90.0
hsa-miR-98-5p,99.8992084798198,LIN28B,neuroblastoma,90.0
hsa-let-7a-2-3p,82.0702296324,FMR1,fragile x syndrome,100.0
hsa-let-7a-2-3p,82.0702296324,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-let-7g-3p,82.0702296324,FMR1,fragile x syndrome,100.0
hsa-let-7g-3p,82.0702296324,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-1245b-3p,83.20267465,FMR1,fragile x syndrome,100.0
hsa-miR-1245b-3p,83.20267465,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-1284,89.5840254837787,FMR1,fragile x syndrome,100.0
hsa-miR-1284,89.5840254837787,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-129-5p,98.71717918423,FMR1,fragile x syndrome,100.0
hsa-miR-129-5p,98.71717918423,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-130a-3p,92.867017290093,FMR1,fragile x syndrome,100.0
hsa-miR-130a-3p,92.867017290093,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-130b-3p,92.867017290093,FMR1,fragile x syndrome,100.0
hsa-miR-130b-3p,92.867017290093,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-139-5p,94.52809,FMR1,fragile x syndrome,100.0
hsa-miR-139-5p,94.52809,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-148a-3p,81.4243,FMR1,fragile x syndrome,100.0
hsa-miR-148a-3p,81.4243,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-148b-3p,81.4243,FMR1,fragile x syndrome,100.0
hsa-miR-148b-3p,81.4243,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-152-3p,81.4243,FMR1,fragile x syndrome,100.0
hsa-miR-152-3p,81.4243,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-1972,82.8548,FMR1,fragile x syndrome,100.0
hsa-miR-1972,82.8548,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-19a-3p,93.05770745996,FMR1,fragile x syndrome,100.0
hsa-miR-19a-3p,93.05770745996,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-19b-3p,93.05770745996,FMR1,fragile x syndrome,100.0
hsa-miR-19b-3p,93.05770745996,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-203b-3p,80.9498,FMR1,fragile x syndrome,100.0
hsa-miR-203b-3p,80.9498,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-2054,85.0064,FMR1,fragile x syndrome,100.0
hsa-miR-2054,85.0064,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-2113,83.5432,FMR1,fragile x syndrome,100.0
hsa-miR-2113,83.5432,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-221-3p,87.9793,FMR1,fragile x syndrome,100.0
hsa-miR-221-3p,87.9793,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-222-3p,87.9793,FMR1,fragile x syndrome,100.0
hsa-miR-222-3p,87.9793,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-224-3p,91.9670826404,FMR1,fragile x syndrome,100.0
hsa-miR-224-3p,91.9670826404,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-23a-3p,89.1236713081,FMR1,fragile x syndrome,100.0
hsa-miR-23a-3p,89.1236713081,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-23b-3p,89.1236713081,FMR1,fragile x syndrome,100.0
hsa-miR-23b-3p,89.1236713081,FMR1,fragile x tremor/ataxia syndrome,90.0
hsa-miR-23c,89.1236713081,FMR1,fragile x syndrome,100.0
